CFR AFCCE
20 0.171429
40 0.0878049
60 0.0590164
80 0.0444444
100 0.0356436
120 0.0297521
140 0.0255319
160 0.0223602
180 0.0198895
200 0.0179104
220 0.0162896
240 0.0149378
260 0.0137931
280 0.0128114
300 0.0119601
320 0.011215
340 0.0105572
360 0.0099723
380 0.00944882
400 0.00897756
420 0.00855107
440 0.00816327
460 0.00780911
480 0.00748441
500 0.00718563
520 0.00690979
540 0.00665434
560 0.00641711
580 0.00619621
600 0.00599002
620 0.0057971
640 0.00561622
660 0.00544629
680 0.00528634
700 0.00513552
720 0.00499307
740 0.0048583
760 0.00473062
780 0.00460948
800 0.00449438
820 0.0043849
840 0.00428062
860 0.00418118
880 0.00408627
900 0.00399556
920 0.00390879
940 0.00382572
960 0.0037461
980 0.00366972
1000 0.0035964
