EFR_ACT AFCCE
20 0.25619
40 0.13122
60 0.0881967
80 0.0664198
100 0.0532673
120 0.0444628
140 0.038156
160 0.0334161
180 0.0297238
200 0.0267662
220 0.0243439
240 0.0223237
260 0.020613
280 0.0191459
300 0.0178738
320 0.0167601
340 0.0157771
360 0.014903
380 0.0141207
400 0.0134165
420 0.0127791
440 0.0121995
460 0.0116703
480 0.011185
500 0.0107385
520 0.0103263
540 0.00994455
560 0.00959002
580 0.0092599
600 0.00895175
620 0.00866345
640 0.00839314
660 0.00813918
680 0.00790015
700 0.00767475
720 0.00746186
740 0.00726046
760 0.00706965
780 0.0068886
800 0.0067166
820 0.00655298
840 0.00639715
860 0.00624855
880 0.0061067
900 0.00597114
920 0.00584148
940 0.00571732
960 0.00559834
980 0.0054842
1000 0.00537463
