CFR AFCE
20 0.280635
40 0.14374
60 0.096612
80 0.0727572
100 0.0583498
120 0.0487052
140 0.0417967
160 0.0366046
180 0.0325599
200 0.0293201
220 0.0266667
240 0.0244537
260 0.0225798
280 0.0209727
300 0.0195792
320 0.0183593
340 0.0172825
360 0.016325
380 0.0154681
400 0.0146966
420 0.0139984
440 0.0133636
460 0.0127838
480 0.0122523
500 0.0117631
520 0.0113116
540 0.0108934
560 0.0105051
580 0.0101434
600 0.00980588
620 0.00949007
640 0.00919397
660 0.00891578
680 0.00865394
700 0.00840704
720 0.00817383
740 0.00795322
760 0.0077442
780 0.00754588
800 0.00735747
820 0.00717824
840 0.00700753
860 0.00684475
880 0.00668937
900 0.00654088
920 0.00639884
940 0.00626284
960 0.0061325
980 0.00600748
1000 0.00588745
