EFR_ACT_in AFCE
20 0.195238
40 0.1
60 0.0672131
80 0.0506173
100 0.0405941
120 0.0338843
140 0.029078
160 0.0254658
180 0.0226519
200 0.020398
220 0.018552
240 0.0170124
260 0.0157088
280 0.0145907
300 0.0136213
320 0.0127726
340 0.0120235
360 0.0113573
380 0.0107612
400 0.0102244
420 0.00973872
440 0.00929705
460 0.00889371
480 0.00852391
500 0.00818363
520 0.00786948
540 0.00757856
560 0.00730838
580 0.0070568
600 0.00682196
620 0.00660225
640 0.00639626
660 0.00620272
680 0.00602056
700 0.00584879
720 0.00568655
740 0.00553306
760 0.00538765
780 0.00524968
800 0.0051186
820 0.00499391
840 0.00487515
860 0.0047619
880 0.0046538
900 0.0045505
920 0.00445168
940 0.00435707
960 0.00426639
980 0.00417941
1000 0.0040959
