CFR EFCCE
20 0.260635
40 0.133496
60 0.0897268
80 0.067572
100 0.0541914
120 0.0452342
140 0.038818
160 0.0339959
180 0.0302394
200 0.0272305
220 0.0247662
240 0.0227109
260 0.0209706
280 0.0194781
300 0.0181838
320 0.0170509
340 0.0160508
360 0.0151616
380 0.0143657
400 0.0136492
420 0.0130008
440 0.0124112
460 0.0118727
480 0.0113791
500 0.0109248
520 0.0105054
540 0.0101171
560 0.00975639
580 0.00942054
600 0.00910704
620 0.00881374
640 0.00853874
660 0.00828038
680 0.0080372
700 0.00780789
720 0.00759131
740 0.00738641
760 0.00719229
780 0.00700811
800 0.00683313
820 0.00666667
840 0.00650813
860 0.00635695
880 0.00621264
900 0.00607473
920 0.00594282
940 0.00581651
960 0.00569546
980 0.00557934
1000 0.00546787
