EFR_BHV EFCCE
20 0.185714
40 0.095122
60 0.0639344
80 0.0481481
100 0.0386139
120 0.0322314
140 0.0276596
160 0.0242236
180 0.021547
200 0.019403
220 0.0176471
240 0.0161826
260 0.0149425
280 0.013879
300 0.0129568
320 0.0121495
340 0.011437
360 0.0108033
380 0.0102362
400 0.00972569
420 0.00926366
440 0.00884354
460 0.00845987
480 0.00810811
500 0.00778443
520 0.0074856
540 0.00720887
560 0.00695187
580 0.00671256
600 0.00648918
620 0.00628019
640 0.00608424
660 0.00590015
680 0.00572687
700 0.00556348
720 0.00540915
740 0.00526316
760 0.00512484
780 0.0049936
800 0.00486891
820 0.0047503
840 0.00463734
860 0.00452962
880 0.00442679
900 0.00432852
920 0.00423453
940 0.00414453
960 0.00405827
980 0.00397554
1000 0.0038961
