EFR_CSPS EFCCE
20 0.226667
40 0.116098
60 0.0780328
80 0.0587654
100 0.0471287
120 0.0393388
140 0.0337589
160 0.0295652
180 0.0262983
200 0.0236816
220 0.0215385
240 0.019751
260 0.0182375
280 0.0169395
300 0.015814
320 0.0148287
340 0.0139589
360 0.0131856
380 0.0124934
400 0.0118703
420 0.0113064
440 0.0107937
460 0.0103254
480 0.00989605
500 0.009501
520 0.00913628
540 0.00879852
560 0.00848485
580 0.00819277
600 0.00792013
620 0.00766506
640 0.0074259
660 0.00720121
680 0.00698972
700 0.0067903
720 0.00660194
740 0.00642375
760 0.00625493
780 0.00609475
800 0.00594257
820 0.00579781
840 0.00565993
860 0.00552846
880 0.00540295
900 0.00528302
920 0.0051683
940 0.00505845
960 0.00495317
980 0.00485219
1000 0.00475524
