EFR_TIPS EFCCE
20 0.260317
40 0.133333
60 0.0896175
80 0.0674897
100 0.0541254
120 0.0451791
140 0.0387707
160 0.0339545
180 0.0302026
200 0.0271973
220 0.024736
240 0.0226833
260 0.0209451
280 0.0194543
300 0.0181617
320 0.0170301
340 0.0160313
360 0.0151431
380 0.0143482
400 0.0136326
420 0.012985
440 0.0123961
460 0.0118583
480 0.0113652
500 0.0109115
520 0.0104926
540 0.0101047
560 0.0097445
580 0.00940906
600 0.00909595
620 0.00880301
640 0.00852834
660 0.0082703
680 0.00802741
700 0.00779838
720 0.00758206
740 0.00737742
760 0.00718353
780 0.00699957
800 0.0068248
820 0.00665855
840 0.0065002
860 0.00634921
880 0.00620507
900 0.00606733
920 0.00593558
940 0.00580942
960 0.00568852
980 0.00557255
1000 0.00546121
