CFR EFCE
20 0.275873
40 0.141301
60 0.0949727
80 0.0715226
100 0.0573597
120 0.0478788
140 0.0410875
160 0.0359834
180 0.0320074
200 0.0288226
220 0.0262142
240 0.0240387
260 0.0221967
280 0.0206168
300 0.019247
320 0.0180478
340 0.0169892
360 0.016048
380 0.0152056
400 0.0144472
420 0.0137609
440 0.0131368
460 0.0125669
480 0.0120444
500 0.0115635
520 0.0111196
540 0.0107086
560 0.0103268
580 0.00997131
600 0.00963949
620 0.00932904
640 0.00903796
660 0.0087645
680 0.0085071
700 0.00826438
720 0.00803514
740 0.00781826
760 0.00761279
780 0.00741784
800 0.00723263
820 0.00705644
840 0.00688862
860 0.00672861
880 0.00657586
900 0.00642989
920 0.00629026
940 0.00615657
960 0.00602844
980 0.00590554
1000 0.00578755
