CFR_in EFCE
20 0.238095
40 0.121951
60 0.0819672
80 0.0617284
100 0.049505
120 0.0413223
140 0.035461
160 0.0310559
180 0.0276243
200 0.0248756
220 0.0226244
240 0.0207469
260 0.0191571
280 0.0177936
300 0.0166113
320 0.0155763
340 0.0146628
360 0.0138504
380 0.0131234
400 0.0124688
420 0.0118765
440 0.0113379
460 0.010846
480 0.010395
500 0.00998004
520 0.00959693
540 0.00924214
560 0.00891266
580 0.00860585
600 0.00831947
620 0.00805153
640 0.00780031
660 0.0075643
680 0.00734214
700 0.00713267
720 0.00693481
740 0.00674764
760 0.0065703
780 0.00640205
800 0.0062422
820 0.00609013
840 0.0059453
860 0.0058072
880 0.00567537
900 0.00554939
920 0.00542888
940 0.0053135
960 0.00520291
980 0.00509684
1000 0.004995
