EFR_BHV_in EFCE
20 0.285714
40 0.146341
60 0.0983607
80 0.0740741
100 0.0594059
120 0.0495868
140 0.0425532
160 0.0372671
180 0.0331492
200 0.0298507
220 0.0271493
240 0.0248963
260 0.0229885
280 0.0213523
300 0.0199336
320 0.0186916
340 0.0175953
360 0.0166205
380 0.015748
400 0.0149626
420 0.0142518
440 0.0136054
460 0.0130152
480 0.012474
500 0.011976
520 0.0115163
540 0.0110906
560 0.0106952
580 0.010327
600 0.00998336
620 0.00966184
640 0.00936037
660 0.00907716
680 0.00881057
700 0.0085592
720 0.00832178
740 0.00809717
760 0.00788436
780 0.00768246
800 0.00749064
820 0.00730816
840 0.00713436
860 0.00696864
880 0.00681044
900 0.00665927
920 0.00651466
940 0.0063762
960 0.0062435
980 0.00611621
1000 0.00599401
