EFR_CFPS_in EFCE
20 0.247619
40 0.126829
60 0.0852459
80 0.0641975
100 0.0514851
120 0.0429752
140 0.0368794
160 0.0322981
180 0.0287293
200 0.0258706
220 0.0235294
240 0.0215768
260 0.0199234
280 0.0185053
300 0.0172757
320 0.0161994
340 0.0152493
360 0.0144044
380 0.0136483
400 0.0129676
420 0.0123515
440 0.0117914
460 0.0112798
480 0.0108108
500 0.0103792
520 0.00998081
540 0.00961183
560 0.00926916
580 0.00895009
600 0.00865225
620 0.00837359
640 0.00811232
660 0.00786687
680 0.00763583
700 0.00741797
720 0.00721221
740 0.00701754
760 0.00683311
780 0.00665813
800 0.00649189
820 0.00633374
840 0.00618312
860 0.00603949
880 0.00590238
900 0.00577137
920 0.00564604
940 0.00552604
960 0.00541103
980 0.00530071
1000 0.00519481
