EFR_CSPS_in EFCE
20 0.257143
40 0.131707
60 0.0885246
80 0.0666667
100 0.0534653
120 0.0446281
140 0.0382979
160 0.0335404
180 0.0298343
200 0.0268657
220 0.0244344
240 0.0224066
260 0.0206897
280 0.0192171
300 0.0179402
320 0.0168224
340 0.0158358
360 0.0149584
380 0.0141732
400 0.0134663
420 0.0128266
440 0.0122449
460 0.0117137
480 0.0112266
500 0.0107784
520 0.0103647
540 0.00998152
560 0.00962567
580 0.00929432
600 0.00898502
620 0.00869565
640 0.00842434
660 0.00816944
680 0.00792952
700 0.00770328
720 0.0074896
740 0.00728745
760 0.00709593
780 0.00691421
800 0.00674157
820 0.00657734
840 0.00642093
860 0.00627178
880 0.0061294
900 0.00599334
920 0.00586319
940 0.00573858
960 0.00561915
980 0.00550459
1000 0.00539461
