EFR_TIPS_in EFCE
20 0.228571
40 0.117073
60 0.0786885
80 0.0592593
100 0.0475248
120 0.0396694
140 0.0340426
160 0.0298137
180 0.0265193
200 0.0238806
220 0.0217195
240 0.019917
260 0.0183908
280 0.0170819
300 0.0159468
320 0.0149533
340 0.0140762
360 0.0132964
380 0.0125984
400 0.0119701
420 0.0114014
440 0.0108844
460 0.0104121
480 0.00997921
500 0.00958084
520 0.00921305
540 0.00887246
560 0.00855615
580 0.00826162
600 0.00798669
620 0.00772947
640 0.0074883
660 0.00726172
680 0.00704846
700 0.00684736
720 0.00665742
740 0.00647773
760 0.00630749
780 0.00614597
800 0.00599251
820 0.00584653
840 0.00570749
860 0.00557491
880 0.00544835
900 0.00532741
920 0.00521173
940 0.00510096
960 0.0049948
980 0.00489297
1000 0.0047952
