CFR CCE
20 0.136825
40 0.0700813
60 0.0471038
80 0.0354733
100 0.02852945
120 0.0235856
140 0.01998175
160 0.0176979
180 0.01575405
200 0.0142102
220 0.0129635
240 0.0119225
260 0.0110089
280 0.0102254
300 0.00954596
320 0.00895119
340 0.0084262
360 0.00795937
380 0.00754156
400 0.00716542
420 0.00682502
440 0.0065155
460 0.00623283
480 0.00597367
500 0.0057352
520 0.00551504
540 0.00531115
560 0.00512181
580 0.0049455
600 0.00478092
620 0.00462695
640 0.00448258
660 0.00434695
680 0.00421929
700 0.00409891
720 0.00398521
740 0.00387764
760 0.00377573
780 0.00367904
800 0.00358718
820 0.0034998
840 0.00341657
860 0.0033372
880 0.00326145
900 0.00318905
920 0.0031198
940 0.00305349
960 0.00298994
980 0.00292898
1000 0.00287046
