CFR AFCCE
20 0.209524
40 0.107317
60 0.0721311
80 0.054321
100 0.0435644
120 0.0363636
140 0.0312057
160 0.0273292
180 0.0243094
200 0.0218905
220 0.0199095
240 0.0182573
260 0.0168582
280 0.0156584
300 0.0146179
320 0.0137072
340 0.0129032
360 0.0121884
380 0.0115486
400 0.0109726
420 0.0104513
440 0.00997732
460 0.00954447
480 0.00914761
500 0.00878244
520 0.0084453
540 0.00813309
560 0.00784314
580 0.00757315
600 0.00732113
620 0.00708535
640 0.00686427
660 0.00665658
680 0.00646109
700 0.00627675
720 0.00610264
740 0.00593792
760 0.00578187
780 0.0056338
800 0.00549313
820 0.00535932
840 0.00523187
860 0.00511034
880 0.00499432
900 0.00488346
920 0.00477742
940 0.00467588
960 0.00457856
980 0.00448522
1000 0.0043956
