EFR_ACT AFCCE
20 0.193333
40 0.0990244
60 0.0665574
80 0.0501235
100 0.040198
120 0.0335537
140 0.0287943
160 0.0252174
180 0.0224309
200 0.020199
220 0.018371
240 0.0168465
260 0.0155556
280 0.0144484
300 0.0134884
320 0.012648
340 0.0119062
360 0.0112465
380 0.0106562
400 0.0101247
420 0.00964371
440 0.00920635
460 0.00880694
480 0.00844075
500 0.00810379
520 0.00779271
540 0.00750462
560 0.00723708
580 0.00698795
600 0.00675541
620 0.00653784
640 0.00633385
660 0.00614221
680 0.00596182
700 0.00579173
720 0.00563107
740 0.00547908
760 0.00533509
780 0.00519846
800 0.00506866
820 0.00494519
840 0.00482759
860 0.00471545
880 0.0046084
900 0.0045061
920 0.00440825
940 0.00431456
960 0.00422477
980 0.00413863
1000 0.00405594
