EFR_TIPS EFCCE
20 0.170476
40 0.0873171
60 0.0586885
80 0.0441975
100 0.0354455
120 0.0295868
140 0.0253901
160 0.022236
180 0.019779
200 0.0178109
220 0.0161991
240 0.0148548
260 0.0137165
280 0.0127402
300 0.0118937
320 0.0111526
340 0.0104985
360 0.0099169
380 0.00939633
400 0.00892768
420 0.00850356
440 0.00811791
460 0.00776573
480 0.00744283
500 0.00714571
520 0.0068714
540 0.00661738
560 0.00638146
580 0.00616179
600 0.00595674
620 0.0057649
640 0.00558502
660 0.00541604
680 0.00525698
700 0.00510699
720 0.00496533
740 0.00483131
760 0.00470434
780 0.00458387
800 0.00446941
820 0.00436054
840 0.00425684
860 0.00415796
880 0.00406356
900 0.00397336
920 0.00388708
940 0.00380446
960 0.00372529
980 0.00364934
1000 0.00357642
