EFR_BHV_in EFCE
20 0.252381
40 0.129268
60 0.0868852
80 0.0654321
100 0.0524752
120 0.0438017
140 0.0375887
160 0.0329193
180 0.0292818
200 0.0263682
220 0.0239819
240 0.0219917
260 0.0203065
280 0.0188612
300 0.017608
320 0.0165109
340 0.0155425
360 0.0146814
380 0.0139108
400 0.013217
420 0.0125891
440 0.0120181
460 0.0114967
480 0.0110187
500 0.0105788
520 0.0101727
540 0.00979667
560 0.00944742
580 0.0091222
600 0.00881864
620 0.00853462
640 0.00826833
660 0.00801815
680 0.00778267
700 0.00756063
720 0.0073509
740 0.0071525
760 0.00696452
780 0.00678617
800 0.00661673
820 0.00645554
840 0.00630202
860 0.00615563
880 0.00601589
900 0.00588235
920 0.00575461
940 0.00563231
960 0.00551509
980 0.00540265
1000 0.00529471
