EFR_CFPS_in EFCE
20 0.248571
40 0.127317
60 0.0855738
80 0.0644444
100 0.0516832
120 0.0431405
140 0.0370213
160 0.0324224
180 0.0288398
200 0.0259701
220 0.0236199
240 0.0216598
260 0.02
280 0.0185765
300 0.0173422
320 0.0162617
340 0.0153079
360 0.0144598
380 0.0137008
400 0.0130175
420 0.012399
440 0.0118367
460 0.0113232
480 0.0108524
500 0.0104192
520 0.0100192
540 0.0096488
560 0.00930481
580 0.00898451
600 0.00868552
620 0.0084058
640 0.00814353
660 0.00789713
680 0.0076652
700 0.0074465
720 0.00723994
740 0.00704453
760 0.0068594
780 0.00668374
800 0.00651685
820 0.0063581
840 0.0062069
860 0.00606272
880 0.00592509
900 0.00579356
920 0.00566775
940 0.00554729
960 0.00543184
980 0.0053211
1000 0.00521479
