============================================================
CFR CONVERGENCE METRICS - DEAL OR NO DEAL
============================================================

GAME PARAMETERS:
  max_turns: 3
  max_num_instances: 5
  discount: 1.0
  prob_end: 0.0

TIMING:
  Total iterations: 2000
  Wall clock time: 1541.31 seconds
  Time per iteration: 0.7707 seconds
  Iterations per second: 1.30

FINAL METRICS:
  Policy delta: 0.633333
  Expected value P0: 2.7000
  Expected value P1: 10.0000
  Social welfare: 12.7000
  Cumulative regret: 0.06
  Policy variance: 0.250333

CONVERGENCE ASSESSMENT:
  Strategy convergence: WEAK (delta >= 0.5)
  Policy stability: STABLE (low variance)

============================================================
ITERATION HISTORY:
============================================================
  Iter      Delta      EV_P0      EV_P1    Welfare   Variance     Regret
----------------------------------------------------------------------------
     0   0.000000     0.1333     0.2000     0.3333   0.000000      98.78
    20   8.580728     2.7667     8.3667    11.1333   0.000000       5.30
    40   0.935711     1.8333     8.3000    10.1333   0.000000       2.74
    60   0.500000     2.1333     8.7000    10.8333   0.000000       1.84
    80   0.542627     2.5000     9.1000    11.6000   3.503230       1.39
   100   0.661648     2.0000     9.5333    11.5333   0.575268       1.11
   120   0.823273     2.7000     9.9667    12.6667   0.670854       0.93
   140   0.811035     2.5667     9.1667    11.7333   0.504645       0.80
   160   0.823273     2.8667     9.9333    12.8000   0.467998       0.70
   180   0.740120     2.2667     9.5000    11.7667   0.430607       0.62
   200   0.527046     2.4333    10.0000    12.4333   0.388501       0.56
   220   0.453382     2.0667     9.7333    11.8000   0.407922       0.51
   240   0.284800     1.9667    10.0000    11.9667   0.371543       0.47
   260   0.133333     1.9667     9.8667    11.8333   0.262467       0.43
   280   0.307318     2.2667     9.9333    12.2000   0.208487       0.40
   300   0.094281     2.3333    10.0000    12.3333   0.182574       0.37
   320   0.760117     2.1333     9.2667    11.4000   0.315947       0.35
   340   0.745356     2.2667    10.0000    12.2667   0.306956       0.33
   360   0.301846     2.5667     9.9667    12.5333   0.318050       0.31
   380   0.074536     2.6333    10.0000    12.6333   0.345254       0.29
   400   0.339935     2.5667     9.6667    12.2333   0.346795       0.28
   420   0.388730     2.3667    10.0000    12.3667   0.190904       0.27
   440   0.200000     2.1667    10.0000    12.1667   0.215819       0.25
   460   0.200000     2.3667    10.0000    12.3667   0.212498       0.24
   480   0.033333     2.3333    10.0000    12.3333   0.184270       0.23
   500   0.100000     2.2333    10.0000    12.2333   0.080000       0.22
   520   0.210819     2.0333     9.9333    11.9667   0.122927       0.22
   540   0.120185     2.1333    10.0000    12.1333   0.126842       0.21
   560   0.401386     2.5333     9.9667    12.5000   0.174101       0.20
   580   0.434613     2.1000    10.0000    12.1000   0.177639       0.19
   600   0.094281     2.1667     9.9333    12.1000   0.178139       0.19
   620   0.133333     2.1667     9.8000    11.9667   0.175119       0.18
   640   0.507718     2.6333    10.0000    12.6333   0.230940       0.18
   660   0.600000     2.0333    10.0000    12.0333   0.226274       0.17
   680   0.100000     2.1333    10.0000    12.1333   0.223109       0.16
   700   0.300000     2.4333    10.0000    12.4333   0.234758       0.16
   720   0.640312     1.9333     9.6000    11.5333   0.305941       0.16
