CFR AFCE
20 1.4486
40 0.996
60 0.724
80 0.553647
100 0.44819
120 0.39072
140 0.338655
160 0.305818
180 0.296459
200 0.285707
220 0.2734
240 0.251327
260 0.232358
280 0.216053
300 0.20348
320 0.200223
340 0.197069
360 0.194012
380 0.191049
400 0.182484
420 0.179917
440 0.177399
460 0.174971
480 0.172609
500 0.164864
520 0.162698
540 0.160589
560 0.158533
580 0.156529
600 0.126753
620 0.125165
640 0.123526
660 0.122072
680 0.12063
700 0.060806
720 0.0603887
740 0.0599326
760 0.0593469
780 0.0588363
800 0.0536923
820 0.0533015
840 0.0529335
860 0.0525705
880 0.0522124
900 0.0676191
920 0.067227
940 0.0668394
960 0.0664562
980 0.0660774
1000 0.0657029
