EFR_BHV EFCCE
20 1.3622
40 0.939444
60 0.675154
80 0.516294
100 0.417952
120 0.3684
140 0.318345
160 0.287697
180 0.277973
200 0.28239
220 0.275733
240 0.268612
260 0.265887
280 0.256947
300 0.25076
320 0.247371
340 0.243473
360 0.239697
380 0.236036
400 0.227655
420 0.224462
440 0.221357
460 0.218336
480 0.215397
500 0.209576
520 0.206879
540 0.204251
560 0.201689
580 0.19919
600 0.206113
620 0.204416
640 0.202747
660 0.201106
680 0.19949
700 0.207202
720 0.205921
740 0.204656
760 0.203406
780 0.202172
800 0.212842
820 0.211721
840 0.210611
860 0.209513
880 0.208427
900 0.163164
920 0.161364
940 0.159603
960 0.15788
980 0.156194
1000 0.154543
