CFR_in EFCE
20 1.4188
40 0.962333
60 0.685308
80 0.526118
100 0.42519
120 0.37348
140 0.335862
160 0.315455
180 0.310459
200 0.303317
220 0.282267
240 0.275347
260 0.271358
280 0.261404
300 0.25334
320 0.249877
340 0.245941
360 0.242126
380 0.238428
400 0.239284
420 0.235919
440 0.232648
460 0.229467
480 0.226371
500 0.239433
520 0.237106
540 0.234824
560 0.232586
580 0.23039
600 0.213214
620 0.210777
640 0.208394
660 0.206065
680 0.203787
700 0.216655
720 0.215307
740 0.213975
760 0.212659
780 0.21136
800 0.221662
820 0.220418
840 0.219188
860 0.217972
880 0.216769
900 0.218353
920 0.217153
940 0.215965
960 0.214791
980 0.213629
1000 0.21248
