EFR_CFPS_in EFCE
20 1.4256
40 0.961222
60 0.684692
80 0.523588
100 0.423857
120 0.37332
140 0.334966
160 0.319606
180 0.312324
200 0.301
220 0.279444
240 0.268633
260 0.264509
280 0.255737
300 0.25104
320 0.247534
340 0.243634
360 0.239856
380 0.236192
400 0.233119
420 0.229851
440 0.226673
460 0.223582
480 0.220574
500 0.235095
520 0.233069
540 0.231079
560 0.229122
580 0.227197
600 0.234369
620 0.232539
640 0.230738
660 0.228965
680 0.227218
700 0.233118
720 0.231661
740 0.230223
760 0.228802
780 0.227399
800 0.233654
820 0.232452
840 0.231263
860 0.230086
880 0.228921
900 0.207035
920 0.205304
940 0.203602
960 0.201927
980 0.20028
1000 0.198659
