EFR_TIPS_in EFCE
20 1.408
40 0.962
60 0.684077
80 0.523118
100 0.423476
120 0.376
140 0.336448
160 0.320667
180 0.315703
200 0.305463
220 0.285022
240 0.272571
260 0.26717
280 0.257368
300 0.24602
320 0.242522
340 0.238702
360 0.234999
380 0.23141
400 0.226873
420 0.22387
440 0.220945
460 0.218096
480 0.215319
500 0.222774
520 0.220551
540 0.218371
560 0.216234
580 0.214139
600 0.221164
620 0.21958
640 0.218018
660 0.216479
680 0.214961
700 0.221264
720 0.219902
740 0.218557
760 0.217228
780 0.215916
800 0.224546
820 0.223358
840 0.222182
860 0.221019
880 0.219867
900 0.22482
920 0.223725
940 0.22264
960 0.221566
980 0.220503
1000 0.219449
