EFR_ACT AFCCE
20 1.3646
40 0.961222
60 0.712231
80 0.544647
100 0.440905
120 0.3808
140 0.336034
160 0.30503
180 0.292892
200 0.282024
220 0.272889
240 0.250367
260 0.231472
280 0.215228
300 0.20122
320 0.197999
340 0.19488
360 0.191857
380 0.188927
400 0.183813
420 0.181232
440 0.178737
460 0.176315
480 0.173959
500 0.177151
520 0.17537
540 0.173625
560 0.171914
580 0.170237
600 0.178444
620 0.176898
640 0.175638
660 0.174455
680 0.173162
700 0.166942
720 0.166042
740 0.165167
760 0.164324
780 0.16315
800 0.138367
820 0.136847
840 0.135339
860 0.133864
880 0.13242
900 0.135792
920 0.135127
940 0.134468
960 0.133815
980 0.133169
1000 0.132529
