EFR_TIPS EFCCE
20 1.3408
40 0.932889
60 0.68
80 0.518235
100 0.417619
120 0.36876
140 0.323448
160 0.296636
180 0.290946
200 0.283634
220 0.271689
240 0.249429
260 0.230981
280 0.214772
300 0.19892
320 0.195736
340 0.192652
360 0.189664
380 0.186768
400 0.187015
420 0.184441
440 0.181931
460 0.179476
480 0.17706
500 0.177664
520 0.175789
540 0.173953
560 0.172155
580 0.17042
600 0.17892
620 0.177721
640 0.176786
660 0.17578
680 0.174651
700 0.179349
720 0.178614
740 0.177685
760 0.17682
780 0.176031
800 0.177298
820 0.176394
840 0.175468
860 0.174552
880 0.173646
900 0.175376
920 0.174483
940 0.173599
960 0.172751
980 0.171877
1000 0.171012
