CFR EFCE
20 1.3904
40 0.980889
60 0.714385
80 0.544529
100 0.44081
120 0.38348
140 0.332414
160 0.301545
180 0.288919
200 0.277976
220 0.268867
240 0.247571
260 0.228887
280 0.212825
300 0.19712
320 0.193965
340 0.190909
360 0.187948
380 0.185078
400 0.182137
420 0.179578
440 0.177103
460 0.174683
480 0.172328
500 0.152991
520 0.151049
540 0.149156
560 0.14731
580 0.145509
600 0.132354
620 0.130977
640 0.129818
660 0.128647
680 0.127874
700 0.100426
720 0.0995264
740 0.0987948
760 0.0978844
780 0.0972109
800 0.0988525
820 0.0983102
840 0.0977362
860 0.0971689
880 0.0966081
900 0.115245
920 0.114614
940 0.11399
960 0.113373
980 0.112762
1000 0.112158
