CFR AFCCE
20 1.3704
40 0.942
60 0.710615
80 0.541059
100 0.438
120 0.37936
140 0.332897
160 0.302545
180 0.292541
200 0.283171
220 0.2736
240 0.251755
260 0.232755
280 0.216421
300 0.20223
320 0.189785
340 0.178783
360 0.168986
380 0.160208
400 0.152296
420 0.145129
440 0.138831
460 0.13286
480 0.127381
500 0.12212
520 0.121141
540 0.120178
560 0.11923
580 0.118297
600 0.121312
620 0.120326
640 0.119561
660 0.118612
680 0.117771
700 0.119525
720 0.118844
740 0.118329
760 0.117652
780 0.117004
800 0.116072
820 0.115444
840 0.11479
860 0.114144
880 0.113504
900 0.115474
920 0.114904
940 0.11434
960 0.113781
980 0.113228
1000 0.11268
