CFR AFCE
20 1.5156
40 1.00644
60 0.731385
80 0.555176
100 0.450381
120 0.38904
140 0.34269
160 0.311636
180 0.299568
200 0.282244
220 0.271378
240 0.249469
260 0.230642
280 0.214456
300 0.200393
320 0.188062
340 0.177159
360 0.167452
380 0.158753
400 0.150914
420 0.143812
440 0.137573
460 0.131656
480 0.126227
500 0.12128
520 0.120308
540 0.119351
560 0.11841
580 0.117483
600 0.112106
620 0.111249
640 0.110585
660 0.109643
680 0.109057
700 0.109731
720 0.109223
740 0.108534
760 0.108196
780 0.107709
800 0.0989528
820 0.0982928
840 0.0977009
860 0.0971161
880 0.0965382
900 0.099639
920 0.0990917
940 0.0985505
960 0.0980151
980 0.0974855
1000 0.0969616
