EFR_ACT_in AFCE
20 1.4304
40 1.00733
60 0.731231
80 0.556235
100 0.445048
120 0.40096
140 0.353586
160 0.338485
180 0.331027
200 0.319854
220 0.297556
240 0.279633
260 0.272415
280 0.263684
300 0.253672
320 0.240831
340 0.22687
360 0.214438
380 0.203299
400 0.193259
420 0.184165
440 0.175888
460 0.168323
480 0.161381
500 0.15496
520 0.153718
540 0.152496
560 0.151293
580 0.150108
600 0.147886
620 0.146708
640 0.145549
660 0.144409
680 0.143286
700 0.141414
720 0.140448
740 0.139495
760 0.138555
780 0.137627
800 0.134459
820 0.13364
840 0.132832
860 0.132033
880 0.131244
900 0.137475
920 0.136712
940 0.135958
960 0.135212
980 0.134474
1000 0.133744
