CFR EFCCE
20 1.306
40 0.914444
60 0.678308
80 0.518706
100 0.419905
120 0.36488
140 0.323103
160 0.292606
180 0.279351
200 0.269415
220 0.261733
240 0.240857
260 0.222679
280 0.207053
300 0.193475
320 0.181569
340 0.171043
360 0.161671
380 0.153273
400 0.145704
420 0.138847
440 0.132607
460 0.126903
480 0.12167
500 0.11632
520 0.115388
540 0.11447
560 0.113567
580 0.112678
600 0.109563
620 0.108731
640 0.10773
660 0.107239
680 0.10656
700 0.107588
720 0.10703
740 0.106494
760 0.105924
780 0.105496
800 0.104003
820 0.10337
840 0.102763
860 0.102162
880 0.101569
900 0.0980634
920 0.0975611
940 0.097064
960 0.0965719
980 0.0960847
1000 0.0956025
