EFR_BHV EFCCE
20 1.3072
40 0.926889
60 0.653231
80 0.498941
100 0.403905
120 0.36376
140 0.312138
160 0.287152
180 0.276919
200 0.267512
220 0.264533
240 0.258694
260 0.256679
280 0.245684
300 0.239541
320 0.226892
340 0.213739
360 0.202027
380 0.191532
400 0.182074
420 0.173506
440 0.165708
460 0.158581
480 0.152041
500 0.14548
520 0.144314
540 0.143166
560 0.142037
580 0.140925
600 0.138822
620 0.137718
640 0.136631
660 0.135561
680 0.134508
700 0.136048
720 0.135121
740 0.134207
760 0.133305
780 0.132414
800 0.130194
820 0.12941
840 0.128635
860 0.12787
880 0.127113
900 0.126422
920 0.125754
940 0.125094
960 0.12444
980 0.123793
1000 0.123153
