EFR_CSPS EFCCE
20 1.3452
40 0.952222
60 0.671692
80 0.514824
100 0.414381
120 0.36656
140 0.320207
160 0.293273
180 0.281568
200 0.275902
220 0.271467
240 0.262612
260 0.258642
280 0.249825
300 0.239279
320 0.227569
340 0.214377
360 0.20263
380 0.192104
400 0.182617
420 0.174024
440 0.166202
460 0.159054
480 0.152495
500 0.1463
520 0.145127
540 0.143973
560 0.142838
580 0.14172
600 0.144212
620 0.143065
640 0.141935
660 0.140824
680 0.13973
700 0.141186
720 0.140245
740 0.139317
760 0.138401
780 0.137497
800 0.138322
820 0.137491
840 0.13667
860 0.135859
880 0.135057
900 0.133085
920 0.132349
940 0.131621
960 0.130901
980 0.130189
1000 0.129485
