CFR_in EFCE
20 1.502
40 1.00111
60 0.717385
80 0.548588
100 0.444095
120 0.39368
140 0.349655
160 0.33103
180 0.322703
200 0.313122
220 0.290444
240 0.273673
260 0.269925
280 0.260456
300 0.252557
320 0.238862
340 0.225014
360 0.212685
380 0.201636
400 0.191679
420 0.182659
440 0.174449
460 0.166946
480 0.160062
500 0.15342
520 0.15219
540 0.15098
560 0.149789
580 0.148617
600 0.148588
620 0.147407
640 0.146244
660 0.1451
680 0.143973
700 0.144078
720 0.143119
740 0.142174
760 0.14124
780 0.140319
800 0.138914
820 0.138086
840 0.137267
860 0.136457
880 0.135658
900 0.13919
920 0.138509
940 0.137834
960 0.137166
980 0.136504
1000 0.135848
