EFR_BHV_in EFCE
20 1.492
40 1.03289
60 0.721846
80 0.553765
100 0.448286
120 0.39552
140 0.356207
160 0.33697
180 0.328108
200 0.312049
220 0.289733
240 0.280286
260 0.278604
280 0.270702
300 0.258525
320 0.244215
340 0.230058
360 0.217452
380 0.206156
400 0.195975
420 0.186753
440 0.17836
460 0.170688
480 0.163649
500 0.15778
520 0.156515
540 0.155271
560 0.154046
580 0.15284
600 0.152057
620 0.150849
640 0.14966
660 0.14849
680 0.147338
700 0.144091
720 0.143105
740 0.142132
760 0.141172
780 0.140225
800 0.143298
820 0.142454
840 0.141619
860 0.140795
880 0.13998
900 0.138248
920 0.137479
940 0.136718
960 0.135966
980 0.135222
1000 0.134486
