EFR_CFPS_in EFCE
20 1.4088
40 0.982222
60 0.696769
80 0.534
100 0.426095
120 0.37856
140 0.333655
160 0.320667
180 0.312108
200 0.302537
220 0.281422
240 0.264163
260 0.254566
280 0.245474
300 0.239738
320 0.227569
340 0.214377
360 0.20263
380 0.192104
400 0.182617
420 0.174024
440 0.166202
460 0.159054
480 0.152495
500 0.14666
520 0.145484
540 0.144328
560 0.143189
580 0.142068
600 0.1424
620 0.141269
640 0.140156
660 0.139061
680 0.137982
700 0.135774
720 0.134845
740 0.133929
760 0.133026
780 0.132134
800 0.133281
820 0.132469
840 0.131666
860 0.130874
880 0.13009
900 0.1249
920 0.124235
940 0.123578
960 0.122927
980 0.122284
1000 0.121647
