EFR_CSPS_in EFCE
20 1.4084
40 0.973778
60 0.69
80 0.528235
100 0.428571
120 0.38104
140 0.339034
160 0.321273
180 0.311297
200 0.301659
220 0.280267
240 0.265878
260 0.260151
280 0.250316
300 0.240459
320 0.228677
340 0.21542
360 0.203616
380 0.193039
400 0.183506
420 0.174871
440 0.167011
460 0.159828
480 0.153237
500 0.1476
520 0.146417
540 0.145253
560 0.144107
580 0.142979
600 0.141061
620 0.139943
640 0.138842
660 0.137758
680 0.136691
700 0.136181
720 0.135277
740 0.134384
760 0.133504
780 0.132634
800 0.128671
820 0.127907
840 0.127152
860 0.126405
880 0.125668
900 0.120108
920 0.119445
940 0.11879
960 0.118141
980 0.1175
1000 0.116866
