EFR_TIPS_in EFCE
20 1.5012
40 1.00933
60 0.724308
80 0.552118
100 0.447905
120 0.39728
140 0.354966
160 0.330909
180 0.324162
200 0.314537
220 0.290844
240 0.278367
260 0.271321
280 0.262105
300 0.253967
320 0.240738
340 0.226783
360 0.214356
380 0.203221
400 0.193185
420 0.184094
440 0.17582
460 0.168258
480 0.16132
500 0.15522
520 0.153976
540 0.152752
560 0.151547
580 0.15036
600 0.153419
620 0.152202
640 0.151004
660 0.149826
680 0.148665
700 0.145789
720 0.144787
740 0.143798
760 0.142823
780 0.141861
800 0.141796
820 0.140995
840 0.140203
860 0.139419
880 0.138644
900 0.140367
920 0.139643
940 0.138927
960 0.138218
980 0.137517
1000 0.136822
