key,name,algo,equilibrium,max_turns,seed,status,elapsed_s,final_iter,final_dist
afcce_cfr_t2_seed0,afcce_cfr,CFR,AFCCE,2,0,ok,236.51,1000,2.22045e-15
afcce_efr_act_t2_seed0,afcce_efr_act,EFR_ACT,AFCCE,2,0,ok,237.28,1000,0
afce_cfr_in_t2_seed0,afce_cfr_in,CFR_in,AFCE,2,0,ok,170.23,1000,0.0653084
afce_efr_act_in_t2_seed0,afce_efr_act_in,EFR_ACT_in,AFCE,2,0,ok,174.20,1000,1.24345e-14
efcce_cfr_t2_seed0,efcce_cfr,CFR,EFCCE,2,0,ok,219.68,1000,5.10703e-15
efcce_efr_csps_t2_seed0,efcce_efr_csps,EFR_CSPS,EFCCE,2,0,ok,219.71,1000,1.95399e-14
efcce_efr_tips_t2_seed0,efcce_efr_tips,EFR_TIPS,EFCCE,2,0,ok,221.00,1000,0.0101665
efcce_efr_bhv_t2_seed0,efcce_efr_bhv,EFR_BHV,EFCCE,2,0,ok,228.20,1000,0.0379993
efce_cfr_in_t2_seed0,efce_cfr_in,CFR_in,EFCE,2,0,ok,154.33,1000,0.130971
efce_efr_cfps_in_t2_seed0,efce_efr_cfps_in,EFR_CFPS_in,EFCE,2,0,ok,155.23,1000,1.00668e-05
efce_efr_tips_in_t2_seed0,efce_efr_tips_in,EFR_TIPS_in,EFCE,2,0,ok,151.56,1000,0.0316966
efce_efr_bhv_in_t2_seed0,efce_efr_bhv_in,EFR_BHV_in,EFCE,2,0,ok,155.44,1000,8.96239e-12
cce_cfr_t2_seed0,cce_cfr,CFR,CCE,2,0,ok,101.77,1000,0.0126653
cce_cfr_in_t2_seed0,cce_cfr_in,CFR_in,CCE,2,0,ok,103.65,1000,5.04897e-08
ce_cfr_t2_seed0,ce_cfr,CFR,CE,2,0,ok,115.16,1000,0
ce_cfr_in_t2_seed0,ce_cfr_in,CFR_in,CE,2,0,ok,119.08,1000,0.0950024
afcce_cfr_t3_seed0,afcce_cfr,CFR,AFCCE,3,0,ok,561.33,1000,0.202524
afcce_efr_act_t3_seed0,afcce_efr_act,EFR_ACT,AFCCE,3,0,ok,573.00,1000,1.67821e-12
afce_cfr_in_t3_seed0,afce_cfr_in,CFR_in,AFCE,3,0,ok,420.22,1000,0.102834
afce_efr_act_in_t3_seed0,afce_efr_act_in,EFR_ACT_in,AFCE,3,0,ok,420.52,1000,0.0711661
efcce_cfr_t3_seed0,efcce_cfr,CFR,EFCCE,3,0,ok,1330.60,1000,0.0793587
efcce_efr_csps_t3_seed0,efcce_efr_csps,EFR_CSPS,EFCCE,3,0,ok,1212.48,1000,0.149331
efcce_efr_tips_t3_seed0,efcce_efr_tips,EFR_TIPS,EFCCE,3,0,ok,1096.54,1000,0.434666
efcce_efr_bhv_t3_seed0,efcce_efr_bhv,EFR_BHV,EFCCE,3,0,ok,1107.95,1000,0.176161
efce_cfr_in_t3_seed0,efce_cfr_in,CFR_in,EFCE,3,0,ok,740.87,1000,0.108827
efce_efr_cfps_in_t3_seed0,efce_efr_cfps_in,EFR_CFPS_in,EFCE,3,0,ok,745.09,1000,0.137497
efce_efr_tips_in_t3_seed0,efce_efr_tips_in,EFR_TIPS_in,EFCE,3,0,ok,736.04,1000,0.205823
efce_efr_bhv_in_t3_seed0,efce_efr_bhv_in,EFR_BHV_in,EFCE,3,0,ok,737.06,1000,0.173672
cce_cfr_t3_seed0,cce_cfr,CFR,CCE,3,0,ok,519.29,1000,0.264821
cce_cfr_in_t3_seed0,cce_cfr_in,CFR_in,CCE,3,0,ok,521.15,1000,0.197488
ce_cfr_t3_seed0,ce_cfr,CFR,CE,3,0,ok,653.16,1000,0.414512
ce_cfr_in_t3_seed0,ce_cfr_in,CFR_in,CE,3,0,ok,664.58,1000,0.314333
afcce_cfr_t4_seed0,afcce_cfr,CFR,AFCCE,4,0,ok,13409.98,1000,0.0480867
afcce_efr_act_t4_seed0,afcce_efr_act,EFR_ACT,AFCCE,4,0,ok,7852.85,1000,0.0881748
afce_cfr_in_t4_seed0,afce_cfr_in,CFR_in,AFCE,4,0,ok,8434.73,1000,0.268774
afce_efr_act_in_t4_seed0,afce_efr_act_in,EFR_ACT_in,AFCE,4,0,ok,12921.59,1000,0.104448
efcce_cfr_t4_seed0,efcce_cfr,CFR,EFCCE,4,0,fail,32103.29,,
