CFR EFCCE
1 1.91667
2 2
3 1.875
4 2.03333
5 1.91667
6 1.80952
7 1.875
8 1.74074
9 1.66667
10 1.63636
11 1.56944
12 1.51282
13 1.60714
14 1.65556
15 1.5625
16 1.5
17 1.52778
18 1.46491
19 1.41667
20 1.36508
21 1.37121
22 1.32609
23 1.34028
24 1.34667
25 1.28846
26 1.25309
27 1.21429
28 1.22414
29 1.2
30 1.18817
31 1.17708
32 1.15152
33 1.11765
34 1.10476
35 1.07407
36 1.05856
37 1.04825
38 1.01709
39 1
40 0.979675
41 0.960317
42 0.945736
43 0.94697
44 0.937037
45 0.90942
46 0.890071
47 0.875
48 0.860544
49 0.843333
50 0.846405
51 0.842949
52 0.827044
53 0.82716
54 0.824242
55 0.809524
56 0.798246
57 0.784483
58 0.768362
59 0.766667
60 0.754098
61 0.741935
62 0.73545
63 0.729167
64 0.733333
65 0.722222
66 0.723881
67 0.715686
68 0.710145
69 0.7
70 0.690141
71 0.68287
72 0.682648
73 0.677928
74 0.675556
75 0.666667
76 0.664502
77 0.653846
78 0.660338
79 0.65625
80 0.656379
81 0.656504
82 0.648594
83 0.646825
84 0.639216
85 0.633721
86 0.628352
87 0.626894
88 0.623596
89 0.62037
90 0.613553
91 0.612319
92 0.603943
93 0.601064
94 0.594737
95 0.588542
96 0.587629
97 0.581633
98 0.580808
99 0.578333
100 0.577558
