EFR_CSPS EFCCE
1 2.08333
2 2.11111
3 1.91667
4 2
5 1.88889
6 1.78571
7 1.8125
8 1.64815
9 1.5
10 1.48485
11 1.43056
12 1.38462
13 1.41667
14 1.34444
15 1.28125
16 1.19608
17 1.14815
18 1.07018
19 1.03333
20 0.992063
21 0.94697
22 0.898551
23 0.868056
24 0.873333
25 0.846154
26 0.814815
27 0.803571
28 0.810345
29 0.811111
30 0.784946
31 0.786458
32 0.772727
33 0.75
34 0.728571
35 0.717593
36 0.698198
37 0.701754
38 0.692308
39 0.670833
40 0.658537
41 0.634921
42 0.620155
43 0.617424
44 0.607407
45 0.597826
46 0.588652
47 0.586806
48 0.578231
49 0.56
50 0.558824
51 0.544872
52 0.531447
53 0.524691
54 0.509091
55 0.508929
56 0.5
57 0.497126
58 0.483051
59 0.477778
60 0.469945
61 0.456989
62 0.455026
63 0.447917
64 0.441026
65 0.434343
66 0.435323
67 0.436275
68 0.429952
69 0.419048
70 0.410798
71 0.402778
72 0.399543
73 0.391892
74 0.388889
75 0.383772
76 0.378788
77 0.380342
78 0.381857
79 0.372917
80 0.368313
81 0.363821
82 0.355422
83 0.35119
84 0.347059
85 0.339147
86 0.331418
87 0.327652
88 0.322097
89 0.322222
90 0.324176
91 0.324275
92 0.320789
93 0.319149
94 0.314035
95 0.309028
96 0.309278
97 0.309524
98 0.308081
99 0.306667
100 0.305281
