EFR_TIPS_ex EFCCE
1 1.91667
2 2
3 1.875
4 2.03333
5 1.91667
6 1.80952
7 1.875
8 1.74074
9 1.66667
10 1.63636
11 1.56944
12 1.51282
13 1.60714
14 1.65556
15 1.5625
16 1.5
17 1.52778
18 1.46491
19 1.41667
20 1.36508
21 1.37121
22 1.32609
23 1.34028
24 1.34667
25 1.28846
26 1.25309
27 1.21429
28 1.22414
29 1.2
30 1.18817
31 1.17708
32 1.15152
33 1.11765
34 1.10476
35 1.08796
36 1.07207
37 1.0614
38 1.02991
39 1.02083
40 0.995935
41 0.980159
42 0.965116
43 0.965909
44 0.955556
45 0.927536
46 0.907801
47 0.892361
48 0.87415
49 0.856667
50 0.859477
51 0.855769
52 0.839623
53 0.839506
54 0.836364
55 0.821429
56 0.809942
57 0.795977
58 0.779661
59 0.777778
60 0.765027
61 0.752688
62 0.746032
63 0.739583
64 0.74359
65 0.732323
66 0.733831
67 0.727941
68 0.722222
69 0.711905
70 0.701878
71 0.694444
72 0.694064
73 0.689189
74 0.686667
75 0.677632
76 0.67316
77 0.662393
78 0.668776
79 0.664583
80 0.664609
81 0.664634
82 0.656627
83 0.654762
84 0.647059
85 0.641473
86 0.636015
87 0.63447
88 0.627341
89 0.625926
90 0.619048
91 0.617754
92 0.609319
93 0.606383
94 0.596491
95 0.59375
96 0.592784
97 0.586735
98 0.585859
99 0.583333
100 0.582508
