CFR EFCE
1 2
2 2.11111
3 2
4 2.16667
5 2.08333
6 2.02381
7 2.0625
8 1.96296
9 1.85
10 1.80303
11 1.79167
12 1.80769
13 1.89286
14 1.95556
15 1.84375
16 1.78431
17 1.75926
18 1.68421
19 1.60833
20 1.57937
21 1.57576
22 1.53623
23 1.54167
24 1.54667
25 1.48077
26 1.43827
27 1.39881
28 1.39655
29 1.38333
30 1.36559
31 1.33333
32 1.30303
33 1.2549
34 1.2381
35 1.20833
36 1.18919
37 1.17105
38 1.14103
39 1.12083
40 1.09756
41 1.07937
42 1.06589
43 1.06061
44 1.04444
45 1.01449
46 0.996454
47 0.979167
48 0.965986
49 0.946667
50 0.95098
51 0.945513
52 0.930818
53 0.925926
54 0.921212
55 0.904762
56 0.888889
57 0.873563
58 0.861582
59 0.858333
60 0.844262
61 0.833333
62 0.825397
63 0.817708
64 0.815385
65 0.808081
66 0.80597
67 0.796569
68 0.789855
69 0.778571
70 0.7723
71 0.766204
72 0.760274
73 0.756757
74 0.751111
75 0.741228
76 0.738095
77 0.724359
78 0.727848
79 0.722917
80 0.722222
81 0.721545
82 0.712851
83 0.710317
84 0.703922
85 0.697674
86 0.693487
87 0.695076
88 0.692884
89 0.687037
90 0.679487
91 0.677536
92 0.668459
93 0.664894
94 0.659649
95 0.652778
96 0.651203
97 0.642857
98 0.639731
99 0.636667
100 0.635314
