CFR_in EFCE
1 2.16667
2 2.22222
3 2.04167
4 2.13333
5 2.05556
6 2.02381
7 2.0625
8 1.88889
9 1.71667
10 1.66667
11 1.59722
12 1.57692
13 1.58333
14 1.48889
15 1.41667
16 1.32353
17 1.25
18 1.19298
19 1.15
20 1.11111
21 1.09091
22 1.04348
23 1.02778
24 1.02
25 0.987179
26 0.969136
27 0.934524
28 0.936782
29 0.927778
30 0.887097
31 0.875
32 0.858586
33 0.838235
34 0.819048
35 0.796296
36 0.779279
37 0.763158
38 0.74359
39 0.733333
40 0.719512
41 0.694444
42 0.686047
43 0.689394
44 0.677778
45 0.666667
46 0.659574
47 0.649306
48 0.632653
49 0.616667
50 0.604575
51 0.589744
52 0.584906
53 0.570988
54 0.563636
55 0.565476
56 0.564327
57 0.560345
58 0.548023
59 0.541667
60 0.532787
61 0.526882
62 0.52381
63 0.518229
64 0.515385
65 0.510101
66 0.497512
67 0.495098
68 0.478261
69 0.471429
70 0.471831
71 0.467593
72 0.465753
73 0.461712
74 0.453333
75 0.449561
76 0.445887
77 0.442308
78 0.447257
79 0.44375
80 0.440329
81 0.436992
82 0.431727
83 0.434524
84 0.431373
85 0.428295
86 0.41954
87 0.418561
88 0.411985
89 0.407407
90 0.404762
91 0.403986
92 0.401434
93 0.398936
94 0.392982
95 0.392361
96 0.391753
97 0.387755
98 0.387205
99 0.386667
100 0.384488
