EFR_CSPS EFCE
1 2.16667
2 2.22222
3 2.04167
4 2.13333
5 2.05556
6 2.02381
7 2.0625
8 1.88889
9 1.71667
10 1.66667
11 1.59722
12 1.57692
13 1.58333
14 1.48889
15 1.41667
16 1.32353
17 1.26852
18 1.21053
19 1.16667
20 1.13492
21 1.09848
22 1.05072
23 1.02083
24 1.01333
25 1
26 0.969136
27 0.934524
28 0.91954
29 0.911111
30 0.88172
31 0.895833
32 0.873737
33 0.857843
34 0.838095
35 0.814815
36 0.788288
37 0.785088
38 0.773504
39 0.754167
40 0.739837
41 0.714286
42 0.705426
43 0.704545
44 0.692593
45 0.681159
46 0.673759
47 0.666667
48 0.653061
49 0.636667
50 0.637255
51 0.625
52 0.613208
53 0.604938
54 0.593939
55 0.589286
56 0.584795
57 0.58046
58 0.570621
59 0.561111
60 0.54918
61 0.540323
62 0.537037
63 0.528646
64 0.523077
65 0.512626
66 0.5
67 0.502451
68 0.495169
69 0.485714
70 0.476526
71 0.467593
72 0.461187
73 0.454955
74 0.451111
75 0.451754
76 0.445887
77 0.446581
78 0.443038
79 0.435417
80 0.436214
81 0.432927
82 0.425703
83 0.422619
84 0.415686
85 0.408915
86 0.402299
87 0.399621
88 0.397004
89 0.394444
90 0.391941
91 0.389493
92 0.383513
93 0.382979
94 0.375439
95 0.368056
96 0.365979
97 0.367347
98 0.36532
99 0.363333
100 0.364686
