EFR_TIPS_in EFCE
1 2.16667
2 2.22222
3 2.04167
4 2.13333
5 2.05556
6 2.02381
7 2.0625
8 1.88889
9 1.71667
10 1.66667
11 1.59722
12 1.57692
13 1.57143
14 1.47778
15 1.4375
16 1.35294
17 1.27778
18 1.2193
19 1.175
20 1.13492
21 1.11364
22 1.06522
23 1.04861
24 1.04
25 1.00641
26 0.987654
27 0.952381
28 0.954023
29 0.944444
30 0.903226
31 0.890625
32 0.873737
33 0.852941
34 0.833333
35 0.810185
36 0.792793
37 0.776316
38 0.75641
39 0.745833
40 0.731707
41 0.706349
42 0.697674
43 0.700758
44 0.688889
45 0.677536
46 0.670213
47 0.659722
48 0.642857
49 0.626667
50 0.614379
51 0.599359
52 0.59434
53 0.580247
54 0.572727
55 0.568452
56 0.567251
57 0.563218
58 0.550847
59 0.544444
60 0.530055
61 0.526882
62 0.529101
63 0.523437
64 0.517949
65 0.510101
66 0.5
67 0.502451
68 0.483092
69 0.478571
70 0.478873
71 0.474537
72 0.472603
73 0.468468
74 0.46
75 0.45614
76 0.452381
77 0.448718
78 0.453586
79 0.45
80 0.446502
81 0.443089
82 0.437751
83 0.440476
84 0.437255
85 0.434109
86 0.425287
87 0.424242
88 0.417603
89 0.412963
90 0.410256
91 0.40942
92 0.40681
93 0.404255
94 0.398246
95 0.397569
96 0.396907
97 0.392857
98 0.392256
99 0.391667
100 0.389439
