CFR AFCE
20 0.245714
40 0.125854
60 0.0845902
80 0.0637037
100 0.0510891
120 0.0426446
140 0.0365957
160 0.0320497
180 0.0285083
200 0.0256716
220 0.0233484
240 0.0214108
260 0.0197701
280 0.018363
300 0.0171429
320 0.0160748
340 0.015132
360 0.0142936
380 0.0135433
400 0.0128678
420 0.0122565
440 0.0117007
460 0.0111931
480 0.0107277
500 0.0102994
520 0.00990403
540 0.00953789
560 0.00919786
580 0.00888124
600 0.00858569
620 0.00830918
640 0.00804992
660 0.00780635
680 0.00757709
700 0.00736091
720 0.00715673
740 0.00696356
760 0.00678055
780 0.00660691
800 0.00644195
820 0.00628502
840 0.00613555
860 0.00599303
880 0.00585698
900 0.00572697
920 0.00560261
940 0.00548353
960 0.00536941
980 0.00525994
1000 0.00515485
