EFR_ACT_in AFCE
20 0.19619
40 0.100488
60 0.067541
80 0.0508642
100 0.0407921
120 0.0340496
140 0.0292199
160 0.0255901
180 0.0227624
200 0.0204975
220 0.0186425
240 0.0170954
260 0.0157854
280 0.0146619
300 0.0136877
320 0.0128349
340 0.0120821
360 0.0114127
380 0.0108136
400 0.0102743
420 0.00978622
440 0.0093424
460 0.00893709
480 0.00856549
500 0.00822355
520 0.00790787
540 0.00761553
560 0.00734403
580 0.00709122
600 0.00685524
620 0.00663446
640 0.00642746
660 0.00623298
680 0.00604993
700 0.00587732
720 0.00571429
740 0.00556005
760 0.00541393
780 0.00527529
800 0.00514357
820 0.00501827
840 0.00489893
860 0.00478513
880 0.0046765
900 0.0045727
920 0.0044734
940 0.00437832
960 0.0042872
980 0.0041998
1000 0.00411588
