CFR EFCCE
20 0.181905
40 0.0931707
60 0.062623
80 0.0471605
100 0.0378218
120 0.0315702
140 0.0270922
160 0.0237267
180 0.021105
200 0.019005
220 0.0172851
240 0.0158506
260 0.014636
280 0.0135943
300 0.012691
320 0.0119003
340 0.0112023
360 0.0105817
380 0.0100262
400 0.00952618
420 0.00907363
440 0.00866213
460 0.00828633
480 0.00794179
500 0.00762475
520 0.00733205
540 0.007061
560 0.00680927
580 0.00657487
600 0.00635607
620 0.00615137
640 0.00595944
660 0.00577912
680 0.0056094
700 0.00544936
720 0.0052982
740 0.0051552
760 0.00501971
780 0.00489117
800 0.00476904
820 0.00465286
840 0.00454221
860 0.0044367
880 0.00433598
900 0.00423973
920 0.00414767
940 0.00405951
960 0.00397503
980 0.00389399
1000 0.00381618
