EFR_BHV EFCCE
20 0.229524
40 0.117561
60 0.0790164
80 0.0595062
100 0.0477228
120 0.0398347
140 0.0341844
160 0.0299379
180 0.0266298
200 0.0239801
220 0.02181
240 0.02
260 0.0184674
280 0.017153
300 0.0160133
320 0.0150156
340 0.0141349
360 0.0133518
380 0.0126509
400 0.01202
420 0.0114489
440 0.0109297
460 0.0104555
480 0.0100208
500 0.00962076
520 0.00925144
540 0.00890943
560 0.0085918
580 0.00829604
600 0.00801997
620 0.00776167
640 0.0075195
660 0.00729198
680 0.00707783
700 0.00687589
720 0.00668516
740 0.00650472
760 0.00633377
780 0.00617157
800 0.00601748
820 0.00587089
840 0.00573127
860 0.00559814
880 0.00547106
900 0.00534961
920 0.00523344
940 0.00512221
960 0.00501561
980 0.00491335
1000 0.00481518
