EFR_CSPS EFCCE
20 0.177143
40 0.0907317
60 0.0609836
80 0.0459259
100 0.0368317
120 0.0307438
140 0.026383
160 0.0231056
180 0.0205525
200 0.0185075
220 0.0168326
240 0.0154357
260 0.0142529
280 0.0132384
300 0.0123588
320 0.0115888
340 0.0109091
360 0.0103047
380 0.00976378
400 0.00927681
420 0.0088361
440 0.00843537
460 0.00806941
480 0.00773389
500 0.00742515
520 0.00714012
540 0.00687616
560 0.00663102
580 0.00640275
600 0.00618968
620 0.00599034
640 0.00580343
660 0.00562784
680 0.00546256
700 0.0053067
720 0.0051595
740 0.00502024
760 0.0048883
780 0.00476312
800 0.00464419
820 0.00453106
840 0.00442331
860 0.00432056
880 0.00422247
900 0.00412875
920 0.00403909
940 0.00395324
960 0.00387097
980 0.00379205
1000 0.00371628
