CFR EFCE
20 0.200952
40 0.102927
60 0.0691803
80 0.0520988
100 0.0417822
120 0.034876
140 0.0299291
160 0.0262112
180 0.0233149
200 0.020995
220 0.019095
240 0.0175104
260 0.0161686
280 0.0150178
300 0.0140199
320 0.0131464
340 0.0123754
360 0.0116898
380 0.0110761
400 0.0105237
420 0.0100238
440 0.00956916
460 0.00915401
480 0.00877339
500 0.00842315
520 0.00809981
540 0.00780037
560 0.00752228
580 0.00726334
600 0.00702163
620 0.00679549
640 0.00658346
660 0.00638427
680 0.00619677
700 0.00601997
720 0.00585298
740 0.00569501
760 0.00554534
780 0.00540333
800 0.00526841
820 0.00514007
840 0.00501784
860 0.00490128
880 0.00479001
900 0.00468368
920 0.00458198
940 0.00448459
960 0.00439126
980 0.00430173
1000 0.00421578
