EFR_TIPS_in EFCE
20 0.21619
40 0.110732
60 0.0744262
80 0.0560494
100 0.0449505
120 0.0375207
140 0.0321986
160 0.0281988
180 0.0250829
200 0.0225871
220 0.020543
240 0.0188382
260 0.0173946
280 0.0161566
300 0.0150831
320 0.0141433
340 0.0133138
360 0.0125762
380 0.011916
400 0.0113217
420 0.0107838
440 0.0102948
460 0.00984816
480 0.00943867
500 0.00906188
520 0.00871401
540 0.00839187
560 0.00809269
580 0.00781411
600 0.00755408
620 0.00731079
640 0.00708268
660 0.00686838
680 0.00666667
700 0.00647646
720 0.00629681
740 0.00612686
760 0.00596583
780 0.00581306
800 0.00566792
820 0.00552984
840 0.00539834
860 0.00527294
880 0.00515323
900 0.00503885
920 0.00492942
940 0.00482465
960 0.00472425
980 0.00462793
1000 0.00453546
