CFR EFCCE
1 6.75
2 5.55556
3 5.375
4 4.8
5 4.38889
6 4.04762
7 3.97917
8 3.81481
9 3.76667
10 3.83333
11 3.81944
12 3.80769
13 3.82143
14 3.66667
15 3.53125
16 3.44118
17 3.32407
18 3.2193
19 3.01667
20 2.92063
21 2.87121
22 2.94928
23 2.84722
24 2.76
25 2.64103
26 2.56173
27 2.43452
28 2.4023
29 2.28889
30 2.24194
31 2.21354
32 2.17677
33 2.12745
34 2.07619
35 2.02315
36 1.98649
37 1.9386
38 1.91453
39 1.89583
40 1.86992
41 1.82937
42 1.7907
43 1.77652
44 1.73704
45 1.72101
46 1.71277
47 1.69444
48 1.68367
49 1.67
50 1.65686
51 1.625
52 1.60063
53 1.58951
54 1.59091
55 1.57738
56 1.55848
57 1.52586
58 1.51412
59 1.49167
60 1.46448
61 1.44086
62 1.43915
63 1.42969
64 1.42308
65 1.41919
66 1.38806
67 1.37745
68 1.36715
69 1.36667
70 1.35915
71 1.36574
72 1.35388
73 1.34685
74 1.34
75 1.32675
76 1.31385
77 1.30556
78 1.31013
79 1.30208
80 1.2963
81 1.28049
82 1.27108
83 1.2619
84 1.2549
85 1.2345
86 1.22989
87 1.22348
88 1.19476
89 1.19074
90 1.18132
91 1.16848
92 1.16487
93 1.15957
94 1.15614
95 1.15278
96 1.14948
97 1.14626
98 1.13468
99 1.13167
100 1.12871
