EFR_CSPS EFCCE
20 3.55556
40 2.35366
60 1.7459
80 1.41975
100 1.17657
120 0.983471
140 0.855792
160 0.749482
180 0.666667
200 0.600332
220 0.546003
240 0.500692
260 0.462324
280 0.429419
300 0.400886
320 0.375909
340 0.353861
360 0.334257
380 0.31671
400 0.300914
420 0.286619
440 0.273621
460 0.26175
480 0.250866
500 0.240852
520 0.231606
540 0.223044
560 0.215092
580 0.207688
600 0.200776
620 0.19431
640 0.188248
660 0.182552
680 0.17719
700 0.172135
720 0.16736
740 0.162843
760 0.158563
780 0.154503
800 0.150645
820 0.146975
840 0.14348
860 0.140147
880 0.136966
900 0.133925
920 0.131017
940 0.128232
960 0.125564
980 0.123004
1000 0.120546
