EFR_CSPS_ex EFCCE
1 6.16667
2 6
3 5.66667
4 6.13333
5 5.86111
6 5.61905
7 5.54167
8 5.38889
9 5.3
10 5.25758
11 5.11111
12 5.0641
13 4.90476
14 4.81111
15 4.96875
16 4.86275
17 4.7963
18 4.76316
19 4.66667
20 4.54762
21 4.43939
22 4.28986
23 4.17361
24 4.17333
25 4.17949
26 4.23457
27 4.22619
28 4.11494
29 4.17222
30 4.1129
31 4.08854
32 3.99495
33 3.94608
34 3.92857
35 3.88889
36 3.94144
37 3.92105
38 3.95726
39 4.0125
40 3.99187
41 3.96825
42 3.95736
43 3.93561
44 3.92593
45 3.91304
46 3.88298
47 3.85069
48 3.86054
49 3.82333
50 3.79412
51 3.77885
52 3.78931
53 3.7963
54 3.77576
55 3.80655
56 3.77193
57 3.74713
58 3.71469
59 3.69167
60 3.66393
61 3.66398
62 3.65344
63 3.65365
64 3.66154
65 3.62879
66 3.60199
67 3.57843
68 3.5628
69 3.54762
70 3.53521
71 3.5463
72 3.50685
73 3.48649
74 3.50667
75 3.50877
76 3.50649
77 3.50427
78 3.5211
79 3.51667
80 3.49588
81 3.49797
82 3.50201
83 3.47421
84 3.5098
85 3.4845
86 3.46935
87 3.45455
88 3.44757
89 3.43704
90 3.41209
91 3.42391
92 3.4319
93 3.42199
94 3.4386
95 3.43056
96 3.42096
97 3.41327
98 3.41246
99 3.41667
100 3.42079
