EFR_TIPS EFCCE
20 2.48413
40 1.86992
60 1.42077
80 1.21399
100 0.993399
120 0.841598
140 0.723404
160 0.63354
180 0.563536
200 0.507463
220 0.461538
240 0.423237
260 0.390805
280 0.362989
300 0.33887
320 0.317757
340 0.29912
360 0.282548
380 0.267717
400 0.254364
420 0.24228
440 0.231293
460 0.221258
480 0.212058
500 0.203593
520 0.195777
540 0.18854
560 0.181818
580 0.175559
600 0.169717
620 0.164251
640 0.159126
660 0.154312
680 0.14978
700 0.145506
720 0.14147
740 0.137652
760 0.134034
780 0.130602
800 0.127341
820 0.124239
840 0.121284
860 0.118467
880 0.115778
900 0.113208
920 0.110749
940 0.108395
960 0.106139
980 0.103976
1000 0.101898
