EFR_TIPS_ex EFCCE
1 5.33333
2 4.72222
3 4.58333
4 3.73333
5 3.27778
6 3.04762
7 3.0625
8 3.14815
9 3.13333
10 3.15152
11 3.04167
12 3.05128
13 3.08333
14 2.95556
15 2.82292
16 2.81373
17 2.75926
18 2.60526
19 2.575
20 2.51587
21 2.44697
22 2.37681
23 2.3125
24 2.30667
25 2.27564
26 2.2037
27 2.17262
28 2.15517
29 2.16667
30 2.14516
31 2.13542
32 2.11111
33 2.07353
34 2.0381
35 2.00463
36 1.97297
37 1.94298
38 1.89744
39 1.86667
40 1.83333
41 1.78571
42 1.75581
43 1.72727
44 1.6963
45 1.67029
46 1.64894
47 1.61806
48 1.57823
49 1.55667
50 1.52941
51 1.50962
52 1.49057
53 1.47222
54 1.45758
55 1.4375
56 1.40643
57 1.39368
58 1.37571
59 1.34722
60 1.31421
61 1.30376
62 1.28307
63 1.27604
64 1.26154
65 1.25253
66 1.23881
67 1.23284
68 1.21739
69 1.20238
70 1.19718
71 1.1713
72 1.15297
73 1.15315
74 1.13111
75 1.13158
76 1.11472
77 1.09402
78 1.09494
79 1.08542
80 1.06584
81 1.06098
82 1.05622
83 1.04762
84 1.03725
85 1.02907
86 1.01533
87 0.994318
88 0.990637
89 0.988889
90 0.97619
91 0.972826
92 0.962366
93 0.946809
94 0.936842
95 0.935764
96 0.934708
97 0.933673
98 0.93266
99 0.931667
100 0.930693
