CFR EFCE
1 5.91667
2 4.88889
3 4.66667
4 4.33333
5 4
6 4.19048
7 4.08333
8 4.03704
9 3.73333
10 3.77273
11 3.76389
12 3.65385
13 3.64286
14 3.64444
15 3.42708
16 3.31373
17 3.18519
18 3.18421
19 3.2
20 3.13492
21 3.06061
22 2.96377
23 2.95139
24 2.95333
25 2.85897
26 2.85185
27 2.85119
28 2.74713
29 2.71111
30 2.66129
31 2.64583
32 2.61111
33 2.54902
34 2.49048
35 2.42593
36 2.35586
37 2.30702
38 2.26923
39 2.22083
40 2.19919
41 2.14286
42 2.0814
43 2.03409
44 1.99259
45 1.96739
46 1.95745
47 1.92708
48 1.89116
49 1.85667
50 1.83007
51 1.83654
52 1.7956
53 1.7716
54 1.75758
55 1.74405
56 1.72222
57 1.69253
58 1.67232
59 1.65278
60 1.63661
61 1.62097
62 1.59524
63 1.56771
64 1.56667
65 1.53788
66 1.52239
67 1.50245
68 1.47585
69 1.46429
70 1.45305
71 1.44213
72 1.42009
73 1.40315
74 1.39333
75 1.38377
76 1.36797
77 1.35897
78 1.35021
79 1.3375
80 1.31481
81 1.30691
82 1.29116
83 1.28968
84 1.28235
85 1.27326
86 1.26054
87 1.25
88 1.24157
89 1.23519
90 1.20696
91 1.19022
92 1.18638
93 1.18262
94 1.17544
95 1.17014
96 1.16838
97 1.17007
98 1.15993
99 1.16
100 1.16502
