CFR_in EFCE
1 5.16667
2 5.61111
3 4.91667
4 4.76667
5 4.47222
6 4.45238
7 4.29167
8 4.03704
9 4.1
10 4.01515
11 3.86111
12 3.73077
13 3.71429
14 3.5
15 3.35417
16 3.35294
17 3.19444
18 3.07018
19 3.025
20 2.98413
21 3.0303
22 2.93478
23 2.84028
24 2.81333
25 2.75641
26 2.69136
27 2.64881
28 2.58046
29 2.50556
30 2.43011
31 2.34375
32 2.28283
33 2.20098
34 2.14286
35 2.08333
36 2.02703
37 1.97807
38 1.94444
39 1.9
40 1.85772
41 1.82143
42 1.78295
43 1.75
44 1.71852
45 1.68841
46 1.64539
47 1.61458
48 1.56803
49 1.54333
50 1.51961
51 1.49359
52 1.45283
53 1.42901
54 1.40606
55 1.375
56 1.35088
57 1.33046
58 1.30791
59 1.28889
60 1.26776
61 1.24731
62 1.22751
63 1.20833
64 1.18974
65 1.17172
66 1.15423
67 1.14216
68 1.13527
69 1.11667
70 1.10094
71 1.08565
72 1.07078
73 1.05631
74 1.04444
75 1.0307
76 1.01732
77 1
78 0.987342
79 0.979167
80 0.971193
81 0.961382
82 0.953815
83 0.94246
84 0.927451
85 0.916667
86 0.925287
87 0.916667
88 0.90824
89 0.898148
90 0.888278
91 0.878623
92 0.870968
93 0.863475
94 0.854386
95 0.847222
96 0.835052
97 0.823129
98 0.814815
99 0.806667
100 0.79703
