EFR_CSPS_in EFCE
1 5.83333
2 5.61111
3 5.70833
4 5.16667
5 4.66667
6 4.61905
7 4.20833
8 3.98148
9 3.78333
10 4.04545
11 3.95833
12 3.71795
13 3.69048
14 3.57778
15 3.44792
16 3.43137
17 3.30556
18 3.50877
19 3.44167
20 3.3254
21 3.31818
22 3.31159
23 3.20139
24 3.2
25 3.09615
26 2.93827
27 2.85714
28 2.74713
29 2.68333
30 2.5914
31 2.51562
32 2.44444
33 2.39216
34 2.32857
35 2.28704
36 2.24775
37 2.19298
38 2.14103
39 2.09167
40 2.04472
41 2
42 1.95736
43 1.91667
44 1.87778
45 1.83333
46 1.80851
47 1.77431
48 1.7415
49 1.72
50 1.68301
51 1.65385
52 1.62893
53 1.6142
54 1.61515
55 1.58929
56 1.57018
57 1.54598
58 1.5339
59 1.50833
60 1.48087
61 1.47043
62 1.46032
63 1.4401
64 1.41795
65 1.40404
66 1.37313
67 1.35539
68 1.3285
69 1.31905
70 1.29812
71 1.29167
72 1.28311
73 1.26802
74 1.26222
75 1.24342
76 1.22944
77 1.21154
78 1.19831
79 1.18542
80 1.16255
81 1.1565
82 1.1506
83 1.12897
84 1.11373
85 1.10271
86 1.0977
87 1.08902
88 1.07491
89 1.06852
90 1.06777
91 1.06159
92 1.05197
93 1.03369
94 1.02456
95 1.01215
96 1.00687
97 0.993197
98 0.984848
99 0.976667
100 0.960396
