EFR_TIPS_in EFCE
1 6.75
2 6.61111
3 6.70833
4 5.8
5 5.25
6 4.97619
7 5.02083
8 4.90741
9 4.68333
10 4.43939
11 4.23611
12 4.12821
13 4.04762
14 3.94444
15 3.76042
16 3.62745
17 3.42593
18 3.2807
19 3.325
20 3.30952
21 3.29545
22 3.18116
23 3.09722
24 3.05333
25 2.95513
26 2.87654
27 2.73214
28 2.63793
29 2.58333
30 2.47849
31 2.40104
32 2.35354
33 2.29412
34 2.23333
35 2.17593
36 2.12162
37 2.05263
38 1.99145
39 1.95833
40 1.9187
41 1.88492
42 1.85659
43 1.80303
44 1.76296
45 1.73551
46 1.70213
47 1.69444
48 1.65646
49 1.63667
50 1.60458
51 1.58974
52 1.55031
53 1.52469
54 1.50606
55 1.4881
56 1.45906
57 1.44253
58 1.41808
59 1.39167
60 1.36066
61 1.33871
62 1.32804
63 1.30208
64 1.30513
65 1.28283
66 1.27861
67 1.26225
68 1.24155
69 1.22619
70 1.20657
71 1.2037
72 1.18721
73 1.16216
74 1.14889
75 1.13596
76 1.11688
77 1.1047
78 1.09283
79 1.07708
80 1.06173
81 1.05081
82 1.03414
83 1.01984
84 1.00392
85 0.994186
86 0.978927
87 0.969697
88 0.951311
89 0.959259
90 0.954212
91 0.940217
92 0.926523
93 0.913121
94 0.896491
95 0.892361
96 0.88488
97 0.877551
98 0.878788
99 0.863333
100 0.864686
